index sum SD mean
25 0.0 0.0 0.0
26 0.0 0.0 0.0
27 0.0 0.0 0.0
28 0.0 0.0 0.0
29 0.0 0.0 0.0
30 0.0 0.0 0.0
31 0.0 0.0 0.0
32 0.0 0.0 0.0
33 0.0 0.0 0.0
34 0.0 0.0 0.0
35 0.0 0.0 0.0
36 0.0 0.0 0.0
37 0.0 0.0 0.0
38 0.0 0.0 0.0
39 0.0 0.0 0.0
40 0.0 0.0 0.0
41 0.0 0.0 0.0
42 0.0 0.0 0.0
43 0.0 0.0 0.0
44 0.0 0.0 0.0
45 0.0 0.0 0.0
46 0.0 0.0 0.0
47 0.0 0.0 0.0
48 0.0 0.0 0.0
49 0.0 0.0 0.0
50 0.0 0.0 0.0
51 0.0 0.0 0.0
52 0.0 0.0 0.0
53 0.0 0.0 0.0
54 0.0 0.0 0.0
55 0.0 0.0 0.0
56 0.0 0.0 0.0
57 0.0 0.0 0.0
58 0.0 0.0 0.0
59 0.0 0.0 0.0
60 0.129359262554468 2.1333562706865204e-06 0.00021417096449415231
61 0.44533272994274709 1.4410101323931896e-05 0.00073730584427607131
62 0.89052489202218366 4.5066465354524235e-05 0.0014743789603016285
63 1.4387346734934132 0.0001010569750673584 0.0023820110488301542
64 2.0710225166174729 0.00018794916610941146 0.003428845226187869
65 2.7717766462065234 0.00030998397582185036 0.0045890341824611318
66 3.5273471817731203 0.00047014264519925942 0.0058399787777700671
67 4.3254476814480807 0.00067021349177988267 0.0071613372209405309
68 5.1548607872434724 0.00091086481821554658 0.0085345377272242912
69 6.005284536870434 0.0011917264098315042 0.0099425240676662818
70 6.8672501391002561 0.0015114793461786849 0.01136961943559645
71 7.7320780225188006 0.0018679528126056685 0.012801453679666888
72 8.5918545182354826 0.0022582261691571409 0.014224924699065368
73 9.4394184714181879 0.0026787337949058122 0.01562817627718243
74 10.2683494131998 0.0031253682010048208 0.017000578498675166
75 11.072948583479182 0.003593573145582864 0.018332696330263545
76 11.848202863677917 0.0040784138018200491 0.01961622990675152
77 12.589723119042457 0.0045746095143078475 0.02084391244874579
78 13.293656403336946 0.0050765227090766628 0.022009364906186997
79 13.956587029086135 0.0055781194399461432 0.023106932167361149
80 14.575459004364902 0.0060729477961352944 0.024131554642988249
81 15.147560958751662 0.0065542036067928917 0.025078743309191492
82 15.670603694062503 0.0070149466600102619 0.025944708102752487
83 16.142889410149692 0.0074484855652692788 0.026726638096274326
84 16.563533124232503 0.0078488805674100381 0.027423068086477653
85 16.932669747673952 0.0082114552386545331 0.028034221436546276
86 17.251578918257724 0.0085331919851775271 0.028562216752082325
87 17.522683840102104 0.0088129195073273284 0.029011065960433947
88 17.749417748273249 0.0090512633855058689 0.029386453225617962
89 17.935986091379309 0.0092503937478588261 0.029695341210892897
90 18.087071885893391 0.0094136427573054057 0.029945483254790382
91 18.207535647924519 0.0095450760984189375 0.030144926569411454
92 18.302149247616299 0.0096490871887619633 0.03030157160201374
93 18.375389127728525 0.0097300607952861672 0.030422829681669743
94 18.431296896397914 0.009792125807976091 0.030515392212579328
95 18.47340360798021 0.009838997388569375 0.030585105311225512
96 18.504707265063249 0.0098738968375899575 0.030636932558051739
97 18.527689793942539 0.0098995315631657029 0.030674983102553871
98 18.54435987462022 0.0099181166347185757 0.030702582573874537
99 18.55631016467887 0.0099314218777386554 0.030722367822316011
100 18.564779931142731 0.0099408316481500742 0.03073639061447472
101 18.570716803162473 0.0099474080440664272 0.03074621987278555
102 18.574833717143036 0.0099519515415414095 0.03075303595553483
103 18.577658853793587 0.0099550554616665409 0.030757713334095341
104 18.579577903041194 0.0099571527912079745 0.030760890567948996
105 18.580868636226167 0.0099585548639265983 0.030763027543420807
106 18.581728435099027 0.0099594823485350502 0.030764451051488454
107 18.582295854593848 0.009960089630404784 0.030765390487738159
108 18.582666918586838 0.0099604832478468637 0.030766004832097415
109 18.58290749864501 0.0099607359699641369 0.030766403143452005
110 18.583062104611358 0.0099608965265070345 0.030766659113594962
111 18.583160661931437 0.0099609976744681212 0.030766822287965956
112 18.583223012262316 0.009961060763994764 0.03076692551699059
113 18.583262127461012 0.009961099721208155 0.030766990277253332
114 18.583286488601384 0.0099611235549513684 0.030767030610267192
115 18.583301493953929 0.0099611380149735394 0.030767055453566106
116 18.58331073665272 0.0099611467279520517 0.030767070756047551
117 18.583316403291068 0.0099611519102982462 0.030767080137899118
118 18.583319847145937 0.0099611549542168356 0.030767085839645592
119 18.583321920475793 0.0099611567246736948 0.030767089272310914
120 18.583323163649855 0.0099611577410110997 0.030767091330546118
121 18.583323903851134 0.0099611583181150841 0.030767092556044925
122 18.58332434273435 0.0099611586398704842 0.030767093282672766
123 18.583324601265996 0.0099611588178138387 0.030767093710705292
124 18.583324752977902 0.0099611589145030509 0.030767093961883943
125 18.583324841625306 0.0099611589660446847 0.03076709410865117
126 18.583324893219174 0.0099611589926061356 0.030767094194071479
127 18.583324923154077 0.00996115900629258 0.030767094243632578
128 18.583324940469584 0.009961159012941664 0.030767094272300635
129 18.58332495046707 0.0099611590160835761 0.030767094288852763
130 18.58332495046707 0.0099611590160835761 0.030767094288852763
131 18.58332495046707 0.0099611590160835761 0.030767094288852763
132 18.58332495046707 0.0099611590160835761 0.030767094288852763
133 18.58332495046707 0.0099611590160835761 0.030767094288852763
134 18.58332495046707 0.0099611590160835761 0.030767094288852763
135 18.58332495046707 0.0099611590160835761 0.030767094288852763
136 18.58332495046707 0.0099611590160835761 0.030767094288852763
137 18.58332495046707 0.0099611590160835761 0.030767094288852763
