0.05_1,0.05_2,0.05_3,0.05_4,0.05_5,neg_0.05_1,neg_0.05_2,neg_0.05_3,0_1,0_2,0_3,0_4
0.203458236,-0.004562816,0.077526852,0.118975217,0.077139583,0.026385751,0.025151183,0.01114794,8.74126E-05,0.030727986,0.012385562,0.074946435
0.21473628,-0.005281541,0.082547705,0.125237778,0.082203819,0.028277271,0.025614496,0.011467381,0.000481369,0.031188385,0.013456209,0.076693852
0.22579951,-0.006269862,0.08788384,0.13177735,0.087584881,0.030167329,0.026035213,0.011728089,0.000998456,0.031754051,0.014684237,0.078373628
0.236577285,-0.007551907,0.093520638,0.138583442,0.093240315,0.032057801,0.02641177,0.011923646,0.001631629,0.032425325,0.016063571,0.080005255
0.247022805,-0.009108617,0.099450151,0.145617252,0.09913758,0.033957395,0.02674302,0.012056269,0.002368107,0.033165491,0.017574376,0.081622969
0.257162545,-0.01088572,0.105668729,0.152843837,0.105259538,0.035867294,0.027028122,0.012141712,0.003189363,0.033915518,0.019182162,0.083232984
0.267074219,-0.012797391,0.112182303,0.160233523,0.111589382,0.037772899,0.027262036,0.012216569,0.004071047,0.034626661,0.020858764,0.084814093
0.276797349,-0.014741649,0.11898719,0.167799079,0.118118599,0.039652314,0.027436762,0.012328106,0.004982809,0.035271559,0.022589714,0.086348126
0.28639947,-0.016602842,0.126073348,0.175569333,0.124852023,0.041482536,0.027550102,0.01252511,0.005889657,0.035851989,0.024361882,0.087832207
0.296068194,-0.018242178,0.133427731,0.183534468,0.131783406,0.043243423,0.027611484,0.012863853,0.006761488,0.036390558,0.026161669,0.089281087
0.306033954,-0.019528053,0.141024574,0.191661226,0.13888988,0.044922768,0.027637056,0.013399276,0.007582971,0.036912207,0.027970975,0.090724302
0.316419836,-0.020350163,0.148833713,0.199906965,0.146156987,0.046516609,0.027636078,0.014177915,0.008350986,0.037433222,0.029759642,0.092185358
0.327234769,-0.020607623,0.156834602,0.208230141,0.153588743,0.048019539,0.027611843,0.015246739,0.009071137,0.037957253,0.031492227,0.093668997
0.338473208,-0.02021664,0.165023284,0.216599317,0.161182007,0.049417473,0.027568143,0.016638612,0.009750308,0.038488025,0.033144375,0.095167159
