index value
-59 0.065771487735695133
-58 0.065799836923592231
-57 0.065828936257688514
-56 0.065858819450534525
-55 0.06588952235681797
-54 0.065921083163512098
-53 0.06595354259236394
-52 0.065986944122652574
-51 0.066021334237860538
-50 0.066056762697845703
-49 0.066093282841757084
-48 0.066130951926239148
-47 0.066169831502812623
-46 0.06620998784145446
-45 0.066251492407036913
-44 0.066294422394536701
-43 0.066338861333264262
-42 0.066384899771204417
-41 0.066432636052605284
-40 0.06648217720366674
-39 0.066533639942866887
-38 0.066587151839315462
-37 0.066642852646631376
-36 0.066700895841695806
-35 0.066761450406713302
-34 0.066824702903857169
-33 0.066890859900030394
-32 0.066960150813192482
-31 0.067032831270017662
-30 0.067109187086090108
-29 0.067189539011395794
-28 0.067274248422060423
-27 0.067363724187458035
-26 0.067458431012398651
-25 0.067558899643588716
-24 0.067665739453310739
-23 0.067779654086479929
-22 0.067901461090414617
-21 0.0680321167854364
-20 0.068172748116401491
-19 0.068324693924172314
-18 0.068489559121073601
-17 0.068669286830311732
-16 0.068866255981954005
-15 0.069083415721125779
-14 0.069324474264439814
-13 0.069594170368583161
-12 0.069898673864203092
-11 0.070246194738075127
-10 0.070647942715052828
-9 0.071119704042577614
-8 0.071684567896319065
-7 0.072377947387439676
-6 0.073257599157341341
-5 0.074425856928052675
-4 0.07608685263971085
-3 0.078731107428032049
-2 0.08403090466183763
-1 0.12403843694239018
0 0.12403843710986008
1 0.084030904824483291
2 0.078731107428033076
3 0.076086852639713765
4 0.074425856928055062
5 0.073257599157337511
6 0.072377947387432792
7 0.071684567896320148
8 0.07111970404256901
9 0.070647942715055062
10 0.070246194738090559
11 0.069898673864205188
12 0.069594170368566438
13 0.069324474264433167
14 0.069083415721145083
15 0.068866255981972782
16 0.068669286830310594
17 0.068489559121067925
18 0.068324693924162169
19 0.068172748116361245
20 0.068032116785394392
21 0.067901461090441581
22 0.067779654086558144
23 0.067665739453365611
24 0.067558899643596085
25 0.067458431012356851
26 0.067363724187383178
27 0.067274248422007563
28 0.06718953901143157
29 0.067109187086230607
30 0.067032831270130877
31 0.066960150813133737
32 0.066890859899868427
33 0.066824702903802324
34 0.066761450406842782
35 0.066700895841856636
36 0.066642852646640383
37 0.066587151839183928
38 0.066533639942728748
39 0.066482177203632351
40 0.066432636052702471
41 0.066384899771306738
42 0.06633886133324414
43 0.066294422394443636
44 0.06625149240695008
45 0.066209987841412771
46 0.066169831502882956
47 0.066130951926394718
48 0.06609328284179139
49 0.066056762697699237
50 0.066021334237729448
51 0.065986944122680094
52 0.0659535425925145
53 0.065921083163776095
54 0.065889522356951183
55 0.065858819450330022
56 0.065828936257519621
57 0.065799836923758903
58 0.065771487735835465
