index value
-12 2.6943922010709729
-11 2.6263945069373591
-10 2.5461993291829539
-9 2.450827313902352
-8 2.3364789406035058
-7 2.1982479177969547
-6 2.0296447752610534
-5 1.8216919122596062
-4 1.5609251463695453
-3 1.2241387839444571
-2 0.76077939610328371
-1 3.8399990811976688
0 1.0428469139792069
1 1.4417504511097901
2 1.7232190919053094
3 1.9395612572738099
4 2.1123101089503136
5 2.2533672278405716
6 2.3703595652959728
7 2.4685997833409439
8 2.551976062836574
9 2.6234223790181597
10 2.6851970516798129
11 2.7390623180890783
