index value
-25 0.24999999995532737
-24 0.24999999995532679
-23 0.24999999995532621
-22 0.2499999999553256
-21 0.2499999999553249
-20 0.24999999995532426
-19 0.24999999995532354
-18 0.24999999995532279
-17 0.24999999995532179
-16 0.2499999999553208
-15 0.24999999995531974
-14 0.24999999995531855
-13 0.24999999995531716
-12 0.24999999995531574
-11 0.24999999995531394
-10 0.24999999995531189
-9 0.24999999995530967
-8 0.24999999995530689
-7 0.24999999995530339
-6 0.2499999999552992
-5 0.24999999995529337
-4 0.24999999995528538
-3 0.24999999995527286
-2 0.24999999995499739
-1 0.24999999995535277
0 0.24999999995510155
1 0.2499999999552486
2 0.24999999995527286
3 0.24999999995528538
4 0.24999999995529337
5 0.2499999999552992
6 0.24999999995530339
7 0.24999999995530689
8 0.24999999995530967
9 0.24999999995531189
10 0.24999999995531394
11 0.24999999995531574
12 0.24999999995531716
13 0.24999999995531855
14 0.24999999995531974
15 0.2499999999553208
16 0.24999999995532179
17 0.24999999995532279
18 0.24999999995532354
19 0.24999999995532426
20 0.2499999999553249
21 0.2499999999553256
22 0.24999999995532621
23 0.24999999995532679
24 0.24999999995532737
