index value
-95 0.046211739726227045
-94 0.046124270994354406
-93 0.046035366374619968
-92 0.045944985285134236
-91 0.045853085422075605
-90 0.045759622653084996
-89 0.045664550901847165
-88 0.045567822022664503
-87 0.045469385664087446
-86 0.045369189120531644
-85 0.045267177170727368
-84 0.045163291901758502
-83 0.045057472517363209
-82 0.044949655129089584
-81 0.044839772528824449
-80 0.044727753941152172
-79 0.044613524753954234
-78 0.044497006225634544
-77 0.044378115167357006
-76 0.044256763598718926
-75 0.044132858375361857
-74 0.044006300787151668
-73 0.043876986125751208
-72 0.043744803220671161
-71 0.043609633943230891
-70 0.043471352678300337
-69 0.043329825764240326
-68 0.043184910902119546
-67 0.043036456536075261
-66 0.042884301207607535
-65 0.042728272887658944
-64 0.042568188291537717
-63 0.042403852183086073
-62 0.042235056675972563
-61 0.042061580541580212
-60 0.041883188534647849
-59 0.041699630749567673
-58 0.041510642022003358
-57 0.041315941392213514
-56 0.041115231648074568
-55 0.040908198967289096
-54 0.040694512678874445
-53 0.040473825166302026
-52 0.040245771932290751
-51 0.040009971847376861
-50 0.039766027601610576
-49 0.039513526377073262
-48 0.03925204075560329
-47 0.038981129871693443
-46 0.038700340814798076
-45 0.038409210278181449
-44 0.03810726644290522
-43 0.037794031075592163
-42 0.037469021807267362
-41 0.037131754547982905
-40 0.036781745978257417
-39 0.036418516043855341
-38 0.036041590365408036
-37 0.035650502459207374
-36 0.035244795650592547
-35 0.034824024547126388
-34 0.034387755925621315
-33 0.033935568875362213
-32 0.033467054029792401
-31 0.03298181171048184
-30 0.032479448800093687
-29 0.031959574154607429
-28 0.031421792357998794
-27 0.0308656956129559
-26 0.030290853546124819
-25 0.029696800681682147
-24 0.02908302129693216
-23 0.028448931310065876
-22 0.027793856751964864
-21 0.027117008225157391
-20 0.026417450531031457
-19 0.025694066317955625
-18 0.024945512117385094
-17 0.024170164417387761
-16 0.023366052344734888
-15 0.022530771894724251
-14 0.021661374114630642
-13 0.020754215624037203
-12 0.019804753272074233
-11 0.018807253574343995
-10 0.017754367881146829
-9 0.016636487796373695
-8 0.015440724093584315
-7 0.014149203317234609
-6 0.012736037915153341
-5 0.011161474190851351
-4 0.0093592682477585381
-3 0.0072048069589344885
-2 0.0044120377503599692
-1 0.062499995387726506
0 0.0062391320324874291
1 0.0088230263001930851
2 0.010805228503724673
3 0.012475684906408364
4 0.013946610675577665
5 0.015275465512645315
6 0.01649629278875149
7 0.01763118385900557
8 0.018695394524757186
9 0.019699945057157189
10 0.020653069831964754
11 0.021561084366414334
12 0.022428933498192017
13 0.023260554052394036
14 0.024059124085494543
15 0.024827239849492692
16 0.025567045031979877
17 0.026280327485687458
18 0.026968593177045887
19 0.027633123748787309
20 0.028275022002153816
21 0.028895248260471861
22 0.029494649696817893
23 0.030073984117120846
24 0.030633939292034774
25 0.031175148655958145
26 0.03169820400087723
27 0.032203665658567193
28 0.032692070569111886
29 0.033163938564487412
30 0.033619777144740112
31 0.034060084985331376
32 0.03448535438356555
33 0.034896072826958946
34 0.035292723845118744
35 0.035675787287972278
36 0.036045739156250853
37 0.036403051094516345
38 0.036748189642469578
39 0.037081615326668031
40 0.037403781662075419
41 0.037715134121073079
42 0.038016109116718266
43 0.038307133037170982
44 0.038588621359356166
45 0.038860977862095421
46 0.039124593952123296
47 0.039379848110575787
48 0.039627105462657956
49 0.039866717469208453
50 0.040099021735711962
51 0.040324341931887601
52 0.040542987813221798
53 0.040755255334631632
54 0.040961426845756994
55 0.041161771357104769
56 0.041356544866258491
57 0.041545990734200497
58 0.04173034010080872
59 0.041909812331804769
60 0.042084615487667697
61 0.042254946807391898
62 0.042420993200318592
63 0.042582931740198296
64 0.04274093015647399
65 0.042895147318564107
66 0.043045733709660645
67 0.04319283188723505
68 0.043336576928054094
69 0.043477096856054012
70 0.043614513051898833
71 0.043748940643464233
72 0.043880488876842046
73 0.044009261467759145
74 0.044135356933550696
75 0.04425886890602812
76 0.044379886425740506
77 0.044498494218251576
78 0.044614772953143512
79 0.044728799486524549
80 0.0448406470878569
81 0.044950385651943543
82 0.045058081896919476
83 0.045163799549085164
84 0.045267599515404919
85 0.045369540044467416
86 0.045469676876676975
87 0.045568063384409038
88 0.045664750702826926
89 0.045759787852018674
90 0.045853221851073926
91 0.045945097824681314
92 0.046035459102788667
93 0.046124347313782968
94 0.046211802471952224
