index value
-46 0.079090337852253834
-45 0.079277671106720904
-44 0.079471065840243479
-43 0.079670996901201774
-42 0.07987794576748998
-41 0.080092409968142569
-40 0.080314911808901018
-39 0.08054600666878528
-38 0.080786291143652961
-37 0.081036411309263409
-36 0.081297071389267159
-35 0.081569043120932591
-34 0.081853176133219269
-33 0.082150409683628051
-32 0.082461786149322036
-31 0.082788466734570965
-30 0.083131749952440062
-29 0.083493093565536802
-28 0.083874140843294198
-27 0.084276752225035861
-26 0.084703043790134797
-25 0.085155434361793125
-24 0.085636703648663839
-23 0.086150064632118689
-22 0.086699254526483124
-21 0.08728865022862696
-20 0.08792341645854633
-19 0.088609698134305553
-18 0.089354873498964441
-17 0.090167892074051487
-16 0.091059733239223173
-15 0.092044039899827207
-14 0.093138012213693708
-13 0.094363697814588476
-12 0.095749904899980087
-11 0.09733512820407611
-10 0.099172190096639301
-9 0.10133592877512984
-8 0.10393662331629598
-7 0.10714502205858961
-6 0.1112430768507494
-5 0.11673889963532913
-4 0.12467147334798728
-3 0.13763956650867748
-2 0.16523757181261936
-1 0.46342333723050311
0 0.59590227709204113
1 0.16523758379896877
2 0.13763956650867856
3 0.12467147334798885
4 0.1167388996353316
5 0.11124307685075263
6 0.10714502205859296
7 0.1039366233162988
8 0.10133592877513163
9 0.099172190096640064
10 0.09733512820407636
11 0.09574990489998024
12 0.094363697814588546
13 0.09313801221369325
14 0.092044039899825542
15 0.091059733239219759
16 0.090167892074046269
17 0.089354873498958709
18 0.088609698134301557
19 0.087923416458545692
20 0.087288650228629736
21 0.086699254526487746
22 0.086150064632122186
23 0.085636703648662799
24 0.085155434361786575
25 0.084703043790126623
26 0.084276752225032697
27 0.083874140843299833
28 0.083493093565547502
29 0.083131749952445891
30 0.082788466734563596
31 0.082461786149305535
32 0.082150409683620487
33 0.081853176133234118
34 0.081569043120956572
35 0.08129707138926881
36 0.08103641130923564
37 0.080786291143631686
38 0.080546006668804668
39 0.080314911808941222
40 0.080092409968151146
41 0.079877945767450984
42 0.079670996901154742
43 0.079471065840232585
44 0.079277671106754502
45 0.079090337852313328
