index value
-13 0.1065644659986556
-12 0.10806676235103396
-11 0.10976556368275139
-10 0.1117116537863234
-9 0.1139759257282297
-8 0.11666129962893003
-7 0.11992466281388836
-6 0.12402072289566114
-5 0.12939981049757232
-4 0.13696247699063924
-3 0.14890147464650538
-2 0.17304836767289872
-1 0.51093926525180289
0 0.51094064792716154
1 0.1730521711026288
2 0.14890823987529295
3 0.13697343647118665
4 0.12941636754699631
5 0.12404447208635859
6 0.11995734682736267
7 0.1167047503086366
8 0.11403198899264834
9 0.11178209977814618
10 0.10985198469562563
11 0.10817046202950785
12 0.10668634407070335
