index value
-12 0.053224733645292607
-11 0.052414685701785799
-10 0.051448468188777727
-9 0.050283400069139048
-8 0.048862325411136394
-7 0.047106735797119492
-6 0.044904413683731964
-5 0.042084480180866614
-4 0.038358909782551118
-3 0.033153959587014163
-2 0.02492253728898218
-1 0.065831792643028644
0 0.030114062352109255
1 0.036573882615987846
2 0.040704395335793897
3 0.043697753391906062
4 0.045992986997226842
5 0.047811921015822496
6 0.049286224075534714
7 0.050501865512906211
8 0.051518471203721064
9 0.052379088971668028
10 0.053115675145620399
11 0.053752436779030563
