index value
-12 0.067464142383093076
-11 0.067464142383092673
-10 0.067464142383092215
-9 0.067464142383091674
-8 0.067464142383091036
-7 0.067464142383090245
-6 0.067464142383089259
-5 0.067464142383087941
-4 0.067464142383086095
-3 0.067464142383083223
-2 0.067464142383019829
-1 0.067464142383101597
0 0.067464142383043768
1 0.067464142383077644
2 0.067464142383083223
3 0.067464142383086095
4 0.067464142383087941
5 0.067464142383089259
6 0.067464142383090245
7 0.067464142383091036
8 0.067464142383091674
9 0.067464142383092215
10 0.067464142383092673
11 0.067464142383093076
