index value
-62 0.064497484485898343
-61 0.064472654210460389
-60 0.064447192577462578
-59 0.064421072407512478
-58 0.064394264855513431
-57 0.064366739277038565
-56 0.064338463081247493
-55 0.064309401568952901
-54 0.064279517754044765
-53 0.064248772166130064
-52 0.064217122631791149
-51 0.064184524031758089
-50 0.064150928030957469
-49 0.064116282777817363
-48 0.064080532567687892
-47 0.064043617467690911
-46 0.064005472894226256
-45 0.063966029138557257
-44 0.063925210831596788
-43 0.063882936338680918
-42 0.06383911707332883
-41 0.06379365671681865
-40 0.063746450327852699
-39 0.063697383323534681
-38 0.063646330308685231
-37 0.063593153727044771
-36 0.063537702299948512
-35 0.06347980921292791
-34 0.063419289999990455
-33 0.063355940063760052
-32 0.063289531755222853
-31 0.063219810916969682
-30 0.063146492768400217
-29 0.063069256978594196
-28 0.062987741727120627
-27 0.062901536492659629
-26 0.062810173222998061
-25 0.06271311541730562
-24 0.062609744466064612
-23 0.062499342305859663
-22 0.06238106897962261
-21 0.062253932905293421
-20 0.062116750294338656
-19 0.061968087757343839
-18 0.061806177863283143
-17 0.061628789848701258
-16 0.0614330244307153
-15 0.061214979013296207
-14 0.060969191949615038
-13 0.060687714482395877
-12 0.060358567738197054
-11 0.059963211221055621
-10 0.059472472417152297
-9 0.058840157425005271
-8 0.057993246159661088
-7 0.05681700755900574
-6 0.055131900195163334
-5 0.052654405536139121
-4 0.048917583622117171
-3 0.043080685996938227
-2 0.034230343891123421
-1 0.066572707456845112
0 0.038785730545769143
1 0.046261307489408168
2 0.050570537100506158
3 0.053370250464264982
4 0.055297050906804278
5 0.056678017916747744
6 0.057703236805548397
7 0.058489770337847795
8 0.059111937038176528
9 0.059617870387088844
10 0.060039303115596888
11 0.060397563415581168
12 0.060707306588270026
13 0.060978852889294249
14 0.061219659603969072
15 0.061435254760813587
16 0.061629836111261486
17 0.061806661481306611
18 0.061968308209336007
19 0.062116849470835379
20 0.062253976970509453
21 0.062381088328788449
22 0.062499350707711461
23 0.062609748075859076
24 0.062713116952685069
25 0.062810173869826166
26 0.062901536762688171
27 0.062987741838885294
28 0.06306925702448217
29 0.06314649278709164
30 0.063219810924520795
31 0.063289531758253387
32 0.063355940064969363
33 0.063419290000456263
34 0.063479809213087768
35 0.063537702300009519
36 0.063593153727103793
37 0.063646330308746793
38 0.06369738332355529
39 0.063746450327806625
40 0.063793656716734717
41 0.063839117073271112
42 0.063882936338702054
43 0.063925210831692975
44 0.063966029138662672
45 0.06400547289425354
46 0.064043617467622382
47 0.06408053256758095
48 0.064116282777761491
49 0.064150928030991344
50 0.064184524031849433
51 0.06421712263187776
52 0.064248772166153004
53 0.064279517753980567
54 0.064309401568846458
55 0.064338463081187555
56 0.064366739277059618
57 0.064394264855554495
58 0.064421072407510341
59 0.064447192577441262
60 0.0644726542104994
61 0.064497484485989104
