index value
-61 0.065358591758686871
-60 0.065340762988137471
-59 0.065322474946852463
-58 0.065303707592803309
-57 0.065284439638357769
-56 0.065264648449055551
-55 0.065244309931718342
-54 0.06522339841146356
-53 0.065201886495879144
-52 0.065179744924245955
-51 0.065156942400319398
-50 0.065133445406878307
-49 0.065109217998862157
-48 0.065084221572269368
-47 0.065058414606036979
-46 0.065031752372339643
-45 0.065004186610939069
-44 0.064975665162317287
-43 0.064946131552804154
-42 0.064915524524901888
-41 0.064883777503246212
-40 0.0648508179856222
-39 0.064816566847041457
-38 0.0647809375408714
-37 0.064743835178765169
-36 0.064705155467518205
-35 0.064664783475068557
-34 0.064622592192536701
-33 0.064578440851576754
-32 0.064532172945301211
-31 0.064483613889483621
-30 0.064432568244427821
-29 0.064378816395404256
-28 0.06432211056267767
-27 0.064262169975161529
-26 0.064198674990385132
-25 0.064131259878080382
-24 0.064059503890626271
-23 0.0639829201138786
-22 0.063900941408997283
-21 0.063812902482961176
-20 0.06371801671612036
-19 0.063615345719083727
-18 0.063503758475698641
-17 0.06338187490711418
-16 0.063247984766902535
-15 0.063099924752914496
-14 0.06293487978513021
-13 0.062749038201242766
-12 0.062536953740121151
-11 0.062290307378164732
-10 0.061995441086002266
-9 0.061628419015870982
-8 0.061145246165033577
-7 0.060462907746128482
-6 0.05942343894857724
-5 0.057726243682186838
-4 0.054794346822598677
-3 0.049470447760937994
-2 0.039672484486766683
-1 0.066830541427263482
0 0.044508296007428817
1 0.051852299833653935
2 0.055589414165966501
3 0.057769196267361329
4 0.059149911027279851
5 0.060086892504249326
6 0.060762893766067957
7 0.061276822860614116
8 0.061684465196170137
9 0.062018664741406472
10 0.06229968558722259
11 0.062540651046783829
12 0.062750463651629118
13 0.062935418039809815
14 0.063100124096834548
15 0.06324805726951345
16 0.063381900833742233
17 0.063503767600889077
18 0.06361534888328145
19 0.063718017798045451
20 0.063812902848042516
21 0.063900941530658867
22 0.063982920153948103
23 0.064059503903682327
24 0.064131259882291361
25 0.064198674991728877
26 0.064262169975586828
27 0.064322110562812521
28 0.064378816395444002
29 0.064432568244437133
30 0.064483613889487285
31 0.064532172945303945
32 0.064578440851580723
33 0.064622592192542211
34 0.064664783475064519
35 0.064705155467515207
36 0.064743835178784057
37 0.064780937540895228
38 0.064816566847032617
39 0.064850817985594861
40 0.064883777503240078
41 0.06491552452491417
42 0.064946131552808026
43 0.064975665162309459
44 0.065004186610931131
45 0.065031752372340046
46 0.065058414606050885
47 0.065084221572276085
48 0.065109217998840979
49 0.065133445406852217
50 0.065156942400331527
51 0.065179744924289948
52 0.065201886495886888
53 0.065223398411438621
54 0.065244309931694569
55 0.065264648449042673
56 0.065284439638364472
57 0.065303707592814203
58 0.065322474946862413
59 0.065340762988129492
60 0.065358591758674783
